city,lat,lng,country,iso2,admin,capital,population,population_proper,
Tripoli,32.8925,13.18,Libya,LY,?ar?bulus,primary,2189000,229398,
Benghazi,32.11766,20.12928,Libya,LY,Bangh?z?,admin,1180000,582374,
Mi?r?tah,32.37535,15.09254,Libya,LY,Mi?r?tah,admin,386120,216200,
Tobruk,32.08361,23.97639,Libya,LY,Al Bu?n?n,admin,263527,121052,
Al Khums,32.64861,14.26191,Libya,LY,Al Marqab,admin,201943,183061,
??rat az Z?wiyah,32.76306,12.715,Libya,LY,ÍÇÑÇÊ ÇáÒÇæíÉ ,admin,200000,186123,
Zuw?rah,32.9312,12.08199,Libya,LY,An Nuq?? al Khams,admin,180310,67386,
Al Marj,32.48798,20.83174,Libya,LY,Al Marj,admin,169540,85315,
Ghary?n,32.17222,13.02028,Libya,LY,Al Jabal al Gharb?,admin,146810,85219,
Ajd?biy?,30.75545,20.22626,Libya,LY,Al W?h??t,admin,143833,134358,
Surt,31.20892,16.58866,Libya,LY,Surt,admin,128123,93390,
Darnah,32.76704,22.63669,Libya,LY,Darnah,admin,127974,78782,
Sabh?,27.03766,14.42833,Libya,LY,Sabh?,admin,100249,100249,
N?l?t,31.86848,10.9812,Libya,LY,N?l?t,admin,66609,66228,
Ban? Wal?d,31.75662,13.99422,Libya,LY,äÇáæÊ,ADMIN,65392,46350,
Murzuq,25.90444,13.89722,Libya,LY,Murzuq,admin,55071,43732,
Bir?k,27.54956,14.27139,Libya,LY,ÈÑÇß,ADMIN,45421,39444,
Sha???t,32.83039,21.85005,Libya,LY,ÔÍÇÊ,ADMIN,45000,43376,
